,close,high,low,p_change,open,pre_close,volume,date,date_week,key,atr21,atr14
2015-03-30,190.57,192.25,181.8,3.01,185.85,185.0,10089520,20150330,0,172,8.619984190753527,8.516344176856412
2015-03-31,188.77,193.76,188.41,-0.94,193.53,190.57,5026569,20150331,1,173,8.626651610241456,8.533748164223809
2015-04-01,187.59,192.3,186.05,-0.63,188.7,188.77,3794621,20150401,2,174,8.51347772403948,8.370623295350681
2015-04-02,191.0,193.23,190.0,1.82,190.23,187.59,5010368,20150402,3,175,8.320454975275695,8.091293059968487
2015-04-06,203.1,207.75,197.5,6.34,198.0,191.0,12455810,20150406,0,176,8.8842428335959,8.953343555685024
2015-04-07,203.25,205.06,201.14,0.07,202.51,203.1,4347864,20150407,1,177,9.130707460567523,9.31810473027895
2015-04-08,207.67,210.9,205.87,2.17,208.2,203.25,6303117,20150408,2,178,9.067340438635737,9.20966867811617
2015-04-09,210.09,210.37,206.12,1.17,208.43,207.67,3800225,20150409,3,179,8.974609941557846,9.060406629679301
2015-04-10,210.9,211.65,209.0,0.39,209.85,210.09,4067676,20150410,4,180,8.736771372912235,8.697520441845066
2015-04-13,209.78,213.0,209.05,-0.53,210.435,210.9,3758230,20150413,0,181,8.508829878964033,8.358411838856131
2015-04-14,207.46,209.49,205.5,-1.11,208.57,209.78,3025963,20150414,1,182,8.360790360918129,8.147096707509265
2015-04-15,207.83,209.59,206.6,0.18,207.07,207.46,1952378,20150415,2,183,8.114086058017264,7.792304085544318
2015-04-16,206.7,209.17,206.29,-0.54,207.61,207.83,1659059,20150416,3,184,7.864843864778347,7.441425222291152
2015-04-17,206.79,206.88,203.5,0.04,204.99,206.7,2469926,20150417,4,185,7.696517966455568,7.219180563556072
2015-04-20,205.27,207.85,203.85,-0.74,206.78,206.79,2559251,20150420,0,186,7.520493301386256,6.989239094730638
2015-04-21,209.41,210.75,204.31,2.02,205.75,205.27,3432541,20150421,1,187,7.469041239415482,6.950007730821307
2015-04-22,219.44,221.88,211.69,4.79,212.5,209.41,7863037,20150422,2,188,7.904324989919506,7.640007178619782
